Taxonomy#ID	UniProt#protein	RefSeq#gene	RefSeq#cds	BioProject#ID	BioProject#gene	BioProject#cds
82	13	4967	4893	PRJNA68453	4967	4893
210	12219	1480	1405	PRJNA159983	1480	1405
380	384	7484	7409	PRJNA86865	7484	7409
394	6433	6472	6362	PRJNA59081	6472	6362
553	73	4744	4645	PRJNA86861	4744	4645
624	459	5258	5139	PRJNA84383	5258	5139
813	3105					
820	142	11	11	PRJNA13130	11	11
831	3005					
853	4					
882	3519	3639	3536	PRJNA57645	3639	3536
883	3187	3286	3180	PRJNA59089	3286	3180
907	21	2304	2219	PRJNA71135	2304	2219
1084	7	3284	3281	PRJNA159003	3284	3281
1140	2853	2715	2662	PRJNA58045	2715	2662
1148	5333	13269	13072	PRJNA157913	3217	3168
1148	5333	13269	13072	PRJNA159873	3219	3170
1148	5333	13269	13072	PRJNA189748	3208	3159
1148	5333	13269	13072	PRJNA57659	3625	3575
1309	573	2005	1921	PRJDA162197	2005	1921
1390	4856	3948	3823	PRJNA84215	3948	3823
1581	33	2453	2377	PRJNA73657	2453	2377
1638	87	2889	2650	PRJNA73473	2889	2650
1648	37	1780	1697	PRJNA68021	1780	1697
1773	8377					
2098	156	577	523	PRJNA41875	577	523
2110	142	867	813	PRJNA46679	867	813
13035	3305	3684	3337	PRJNA183341	3684	3337
28072	5403	5687	5449	PRJNA182933	5687	5449
28892	2421	2522	2424	PRJNA170729	2522	2424
31964	3097	3281	3116	PRJNA61577	3281	3116
32049	3274	3238	3187	PRJNA59137	3238	3187
32051	2540	2586	2533	PRJNA61607	2586	2533
33970	1	1797	1671	PRJNA89371	1797	1671
36870	617	657	617	PRJNA57853	657	617
37692	140	536	479	PRJNA59087	536	479
39491	7					
40041	326	2058	1869	PRJNA59261	2058	1869
40518	1					
41431	4349	4619	4367	PRJNA59027	4619	4367
41978	1					
43989	5270	5365	5304	PRJNA59013	5365	5304
46234	4488	4797	4511	PRJNA179383	4797	4511
51669	111	2634	2555	PRJNA74441	2634	2555
56107	6205	6738	6229	PRJNA183111	6738	6229
56110	5758	6100	5796	PRJNA183003	6100	5796
56780	3145	3217	3166	PRJNA58539	3217	3166
59374	3807	6319	5956	PRJNA161919	3131	2871
59374	3807	6319	5956	PRJNA41169	3188	3085
59748	676	882	684	PRJNA61641	882	684
59919	1946	1762	1717	PRJNA57761	1762	1717
59920	2149	2228	2162	PRJNA58359	2228	2162
59922	2993	3136	2997	PRJNA58305	3136	2997
60480	3919	4084	3924	PRJNA58345	4084	3924
60481	4004	4186	4014	PRJNA58343	4186	4014
62928	3989	4057	3989	PRJNA61603	4057	3989
62977	3331	3407	3307	PRJNA61597	3407	3307
63186	4710	4783	4732	PRJNA70621	4783	4732
63737	6607	7164	6689	PRJNA57767	7164	6689
64091	2426	2674	2622	PRJNA57769	2674	2622
64471	2884	2944	2892	PRJNA58123	2944	2892
65093	3701	3920	3708	PRJNA183338	3920	3708
65393	5657	5942	5710	PRJNA59025	5942	5710
66084	1039	1303	1150	PRJNA59371	1303	1150
66692	4082	4204	4096	PRJNA58237	4204	4096
69014	2309	2358	2306	PRJNA58225	2358	2306
70601	2082	2000	1950	PRJNA57753	2000	1950
71421	1709	1789	1657	PRJNA57771	1789	1657
74546	1963	1856	1810	PRJNA58357	1856	1810
74547	2833	2330	2269	PRJNA57773	2330	2269
75379	3140	3322	3172	PRJNA48825	3322	3172
76114	4483	4653	4579	PRJNA58231	4653	4579
76869	5404	5529	5408	PRJNA58735	5529	5408
78245	4973	5155	5035	PRJNA58453	5155	5035
79929	1756	1806	1757	PRJNA51637	1806	1757
82654	3828	4014	3854	PRJNA183004	4014	3854
83331		4293	4189	PRJNA57775	4293	4189
83332	4095	8232	8114	PRJNA170532	4170	4111
83332	4095	8232	8114	PRJNA57777	4062	4003
83406	3683	3864	3763	PRJNA51635	3864	3763
84588	2519	2581	2519	PRJNA61581	2581	2519
85643	3927	4141	3978	PRJNA58987	4141	3978
85962	2408	3263	3167	PRJNA178201	1636	1594
85962	2408	3263	3167	PRJNA57787	1627	1573
85963	1488	1534	1488	PRJNA57789	1534	1488
90371	2074	4556	4446	PRJNA86061	4556	4446
93059	1857	1900	1854	PRJNA58309	1900	1854
93060	1985	2054	1982	PRJNA58819	2054	1982
93061	2891	2968	2891	PRJNA57795	2968	2891
93062	2683	2726	2615	PRJNA57797	2726	2615
94122	4346	4519	4360	PRJNA58347	4519	4360
96561	3258	3323	3265	PRJNA58777	3323	3265
96563	4182	4314	4217	PRJNA68749	4314	4217
96901	5508	5628	5509	PRJNA167316	5628	5509
99287	4546	4761	4560	PRJNA57799	4761	4560
99598	5926	6250	5950	PRJNA182930	6250	5950
100226	8124	8300	8153	PRJNA57801	8300	8153
101510	9093	9221	9145	PRJNA58325	9221	9145
102608	1490	1533	1490	PRJNA161139	1533	1490
103690	6166	6213	6129	PRJNA57803	6213	6129
105559	2882	3245	2907	PRJNA50331	3245	2907
106370	4448	4618	4499	PRJNA58397	4618	4499
107806	573	618	574	PRJNA57805	618	574
110662	2634	2756	2645	PRJNA58319	2756	2645
111780	4755	5041	4781	PRJNA183115	5041	4781
111781	4154	4654	4228	PRJNA182928	4654	4228
113355	3					
114615	6711	6818	6717	PRJNA58941	6818	6717
115711	2	1174	1119	PRJNA57809	1174	1119
115713		1122	1052	PRJNA57811	1122	1052
118163	4257	4665	4268	PRJNA183006	4665	4268
122586	2001	2225	2063	PRJNA57817	2225	2063
122587	1887	2065	1909	PRJNA57819	2065	1909
123214	2050	2095	2051	PRJNA58119	2095	2051
126740	1896	1905	1819	PRJNA58935	1905	1819
134676	8245	8385	8247	PRJNA162333	8385	8247
135487	36	5560	5477	PRJNA89395	5560	5477
137722	6092	6420	6309	PRJNA46085	6420	6309
138119	5022	5137	5060	PRJNA58605	5137	5060
138336		4910	4820	PRJNA89391	4910	4820
138677		1110	1069	PRJNA57829	1110	1069
146891	1921	1965	1920	PRJNA58307	1965	1920
150340	5352	4684	4518	PRJNA41601	4684	4518
153948	2842	3239	2983	PRJNA55727	3239	2983
155864	6	5528	5397	PRJNA57831	5528	5397
156889	3594	3815	3716	PRJNA57833	3815	3716
158189	3007	3122	3017	PRJNA63633	3122	3017
158190	3150	3283	3159	PRJNA82365	3283	3159
158847	1					
158878	2716	2808	2730	PRJNA57835	2808	2730
158879	2581	2695	2614	PRJNA57837	2695	2614
159087	4155	4283	4171	PRJNA58025	4283	4171
160488	5313	5516	5350	PRJNA57843	5516	5350
160490		1810	1696	PRJNA57845	1810	1696
160491	1736	1906	1745	PRJNA57847	1906	1745
160492	2772	2905	2832	PRJNA57849	2905	2832
163003	2017	2090	2017	PRJNA168259	2090	2017
163164	1180	1309	1195	PRJNA57851	1309	1195
164756	5591	5698	5615	PRJNA58465	5698	5615
164757	5697	5842	5739	PRJNA58489	5842	5739
166486	8					
167539	1882	1930	1883	PRJNA57995	1930	1883
167542	1901	1964	1905	PRJNA58313	1964	1905
167546	1906	1962	1906	PRJNA58437	1962	1906
167555	2180	2250	2193	PRJNA58423	2250	2193
167879	4872	5054	4910	PRJNA57855	5054	4910
169963	2845	2940	2846	PRJNA61583	2940	2846
170187	2111	2301	2105	PRJNA57857	2301	2105
171101	2029	2115	2042	PRJNA57859	2115	2042
176279	2492	2665	2525	PRJNA57663	2665	2525
176280	2461	2558	2482	PRJNA57861	2558	2482
176299	5373	5459	2962	PRJNA57865	5459	2962
177416	1528	1852	1604	PRJNA57589	1852	1604
177437	4846	5017	4943	PRJNA59061	5017	4943
177439	3233	3322	3234	PRJNA58153	3322	3234
178306	2590	2705	2604	PRJNA57727	2705	2604
179408	6279	7006	6360	PRJNA183110	7006	6360
182082		1155	1113	PRJNA57997	1155	1113
182217	1722	1775	1731	PRJNA162217	1775	1731
183190	2007	2125	2036	PRJNA57869	2125	2036
186103	1837	1924	1839	PRJNA57871	1924	1839
186497	2050	2225	2122	PRJNA57873	2225	2122
187272	2862	2940	2865	PRJNA58467	2940	2865
187303	4051	3716	3666	PRJEA174072	3716	3666
187410		4321	4164	PRJNA57875	4321	4164
187420	1872	1921	1873	PRJNA57877	1921	1873
188937	4468	4721	4540	PRJNA57879	4721	4540
189423	2336	2430	2352	PRJNA52533	2430	2352
189518	3676	3750	3702	PRJNA57881	3750	3702
189918	5894	6079	5975	PRJNA58491	6079	5975
190192	1688	1729	1687	PRJNA57883	1729	1687
190304	2047	2125	2063	PRJNA57885	2125	2063
190485	4127	4240	4179	PRJNA57887	4240	4179
190486	4354	4489	4427	PRJNA57889	4489	4427
190650	3724	3819	3737	PRJNA57891	3819	3737
191218	228	332	297	PRJNA54101	332	297
192222	1623	1699	1623	PRJNA57587	1699	1623
192952	3304	3434	3368	PRJNA57893	3434	3368
193567	1852	1931	1859	PRJNA57895	1931	1859
194439	2250	2337	2245	PRJNA57897	2337	2245
195099	1836	1940	1838	PRJNA57899	1940	1838
195102	2721	2849	2723	PRJNA57681	2849	2723
195103	2873	3016	2876	PRJNA57901	3016	2876
195253	3541	3794	3545	PRJNA182934	3794	3545
196162	4905	5026	4909	PRJNA58149	5026	4909
196164	4728	3064	2994	PRJNA62905	3064	2994
196600	4990	5166	5023	PRJNA58007	5166	5023
196620	2660	2704	2624	PRJNA57903	2704	2624
196627	3924	6211	6050	PRJNA57905	3073	2993
196627	3924	6211	6050	PRJNA61611	3138	3057
197221	2451	2525	2476	PRJNA57907	2525	2476
198094		5636	5328	PRJNA57909	5636	5328
198214		4828	4438	PRJNA62907	4828	4438
198215	4976	4570	4060	PRJNA57991	4570	4060
198466	1859	1951	1865	PRJNA57911	1951	1865
198628	4532	4687	4549	PRJNA52537	4687	4549
198804	562	619	546	PRJNA57913	619	546
199310	5341	5579	5369	PRJNA57915	5579	5369
203119	3106	3363	3173	PRJNA57917	3363	3173
203120	2002	2108	2005	PRJNA57919	2108	2005
203122	4000	4067	4007	PRJNA57921	4067	4007
203123	1687	1864	1691	PRJNA59417	1864	1691
203124	4354	5126	4451	PRJNA57925	5126	4451
203267	805	862	808	PRJNA57705	862	808
203275	2977	3207	3001	PRJNA83157	3207	3001
203907	589	631	583	PRJNA57999	631	583
204536	1708	1768	1723	PRJNA58121	1768	1723
204669	4771	4834	4777	PRJNA58479	4834	4777
204722	3282	6884	6537	PRJNA159871	3437	3266
204722	3282	6884	6537	PRJNA57927	3447	3271
204773	3286	3361	3295	PRJNA58291	3361	3295
205913	1980	2074	2002	PRJNA58833	2074	2002
205914	1793	1874	1798	PRJNA57929	1874	1798
205918	5072	5220	5089	PRJNA57931	5220	5089
205920	1100	1158	1105	PRJNA57933	1158	1105
205921	1983	2136	1996	PRJNA57935	2136	1996
205922	5714	5829	5722	PRJNA57591	5829	5722
206672	1725	1800	1729	PRJNA57939	1800	1729
207559	3220	3364	3258	PRJNA57941	3364	3258
208435	2106	2276	2124	PRJNA57943	2276	2124
208596	2474	2575	2474	PRJNA65789	2575	2474
208963	5886	5977	5892	PRJNA57977	5977	5892
208964	5576	5682	5571	PRJNA57945	5682	5571
209261		4689	4370	PRJNA57973	4689	4370
210007	1958	2042	1960	PRJNA57947	2042	1960
211110	1999	2235	2094	PRJNA61585	2235	2094
211586	4089	4745	4467	PRJNA57949	4745	4467
212042	1330	1411	1264	PRJNA57951	1411	1264
212717	2415	2513	2439	PRJNA57683	2513	2439
213810	2114					
214092		4305	4066	PRJNA57621	4305	4066
215689	3632	3769	3672	PRJNA159955	3769	3672
216389	1370	1436	1371	PRJNA58477	1436	1371
216432	2702	2747	2702	PRJNA49661	2747	2702
216591	6993	7365	7116	PRJNA57953	7365	7116
216592	4884	5036	4920	PRJEA161985	5036	4920
216594	5424	5570	5452	PRJNA59423	5570	5452
216595	6435	6584	6395	PRJNA158693	6106	5921
216595	6435	6584	6395	PRJNA62971	478	474
216596	7110	7346	7143	PRJNA57955	7346	7143
216597	4657	4837	4655	PRJNA86645	4837	4655
216895	4417	4572	4433	PRJNA62909	4572	4433
218491	4472	4613	4472	PRJNA57957	4613	4472
218493	3853	4054	3863	PRJNA70155	4054	3863
218494	1814	2011	1824	PRJEA32235	2011	1824
218495	1760	1908	1762	PRJNA57959	1908	1762
218496	781	839	783	PRJNA57961	839	783
218497	932	1003	932	PRJNA57963	1003	932
220341		5092	4769	PRJNA57793	5092	4769
220664	6112	6273	6108	PRJNA57937	6273	6108
220668	3088	3196	3108	PRJNA62911	3196	3108
221109	3490	3593	3500	PRJNA57867	3593	3500
221988	2367	0	0	PRJNA58197	0	0
222523	5834	6013	5843	PRJNA57673	6013	5843
222891	932	973	932	PRJNA57965	973	932
223283	5432	5842	5619	PRJNA57967	5842	5619
223926	4821	4992	4832	PRJNA57969	4992	4832
224308	4244	8819	8456	PRJNA55263	4397	4280
224308	4244	8819	8456	PRJNA57675	4422	4176
224324	1553	1611	1560	PRJNA57765	1611	1560
224325	2398	2486	2420	PRJNA57717	2486	2420
224326	1289	1570	1346	PRJNA57581	1570	1346
224911	8261	8373	8317	PRJNA57599	8373	8317
224914	4966	3264	3198	PRJNA57735	3264	3198
224915	507	553	507	PRJNA57827	553	507
225849	4923	5025	4911	PRJNA58745	5025	4911
225937	4407	4470	4410	PRJNA162009	4470	4410
226185	3240	3412	3264	PRJNA57669	3412	3264
226186	4782	4902	4816	PRJNA62913	4902	4816
226900	5255	5502	5255	PRJNA57975	5502	5255
227377	1815	2095	1847	PRJNA57631	2095	1847
227882	7665	7765	7676	PRJNA57739	7765	7676
227941	1005	1060	1005	PRJNA57783	1060	1005
228400	1972	2065	1980	PRJNA57979	2065	1980
228405	3499	3568	3505	PRJNA58433	3568	3505
228410	2375	2620	2461	PRJNA57647	2620	2461
228908	536	585	540	PRJNA58009	585	540
229193	1	4389	4137	PRJNA58037	4389	4137
231023	6374	6484	6391	PRJNA167583	6484	6391
232721	4046	4383	4155	PRJNA58427	4383	4155
233412	1694	1838	1717	PRJNA57625	1838	1717
233413	3911	4001	3918	PRJNA57695	4001	3918
234267	7761	8002	7826	PRJNA58139	8002	7826
234621	6424	403	403	PRJNA59019	403	403
234826	970	1004	948	PRJNA57629	1004	948
234831	3710	3816	3712	PRJNA61247	3816	3712
235279	1872	1916	1876	PRJNA57737	1916	1876
235909	3516	3653	3539	PRJNA58227	3653	3539
240015	3363	3492	3377	PRJNA59127	3492	3377
240292	5643	5813	5710	PRJNA58043	5813	5710
242231	1963	2069	2002	PRJNA57611	2069	2002
242619	1864	2015	1909	PRJNA57641	2015	1909
243090	7271	7404	7325	PRJNA61589	7404	7325
243159	3120	3303	3147	PRJNA57649	3303	3147
243160	4797	5507	5023	PRJNA57725	5507	5023
243161	915	961	910	PRJNA57785	961	910
243164	1502	1642	1580	PRJNA57763	1642	1580
243230	3086	3238	3167	PRJNA57665	3238	3167
243231	3405	3505	3428	PRJNA57743	3505	3428
243232	1787	1823	1771	PRJNA57713	1823	1771
243233	2925	3052	2956	PRJNA57607	3052	2956
243243	5040	5313	5120	PRJNA57693	5313	5120
243265	4556	5012	4683	PRJNA61593	5012	4683
243272	631	671	631	PRJNA58005	671	631
243273	484	524	475	PRJNA57707	524	475
243274	2715	1928	1858	PRJNA57723	1928	1858
243275	2753	2838	2767	PRJNA57583	2838	2767
243276	1033	1095	1036	PRJNA57585	1095	1036
243277	3784	4007	3834	PRJNA57623	4007	3834
243365	4397	4528	4405	PRJNA58001	4528	4405
245012	1684					
245014	2993					
245018	2771					
246194	2615	2707	2620	PRJNA57821	2707	2620
246195	1273	1351	1280	PRJNA57643	1351	1280
246196	8808	13680	13407	PRJNA171958	6742	6690
246196	8808	13680	13407	PRJNA57701	6938	6717
246197	7324	7441	7316	PRJNA58003	7441	7316
246198	2250	2460	2266	PRJNA163151	2460	2266
246200	4247	4348	4252	PRJNA57863	4348	4252
246969	2224	2279	2222	PRJNA54735	2279	2222
247156	5943	160	160	PRJNA58203	160	160
251221	4409	4482	4430	PRJNA58011	4482	4430
251229	5746	6033	5752	PRJNA183002	6033	5752
254945	1123	1958	1846	PRJNA58013	961	888
254945	1123	1958	1846	PRJNA58243	997	958
255470	1483	1510	1458	PRJNA58413	1510	1458
257309	2266	2388	2272	PRJNA57691	2388	2272
257310	4967	5072	4994	PRJNA57613	5072	4994
257311	4161	4467	4185	PRJNA57615	4467	4185
257313	3262	3867	3436	PRJNA57617	3867	3436
257314	1809	1918	1821	PRJNA58029	1918	1821
257363	838	918	837	PRJNA58063	918	837
258594	4811	4898	4820	PRJNA62901	4898	4820
259536	2099	2211	2120	PRJNA58021	2211	2120
259564	2242	2497	2273	PRJNA58023	2497	2273
260799		5417	5289	PRJNA58091	5417	5289
261292	3273	3598	3372	PRJNA68745	3598	3372
261317	365	405	360	PRJNA68101	405	360
261594		5901	5484	PRJNA58083	5901	5484
262316	4320	4399	4350	PRJNA57699	4399	4350
262543	3006	3155	3015	PRJNA58053	3155	3015
262698	3077	3355	3084	PRJNA58019	3355	3084
262719	671	701	657	PRJNA58059	701	657
262722	694	705	657	PRJNA58039	705	657
262723	679	715	659	PRJNA58061	715	659
262724	2200	2263	2210	PRJNA58033	2263	2210
262727	1631	1744	1636	PRJNA161921	1744	1636
262728	1793	1892	1795	PRJNA161923	1892	1795
262768	730	788	749	PRJNA58015	788	749
263358	6005	6069	6009	PRJNA66297	6069	6009
263820	1535	1587	1537	PRJNA58041	1587	1537
264198	6453	6616	6446	PRJNA58047	6616	6446
264199	1585	1973	1888	PRJNA58219	1973	1888
264201	2024	0	0	PRJNA58079	0	0
264202	1013	1054	1013	PRJNA57971	1054	1013
